timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:24:04.646, 1, 0 %, 8555 MiB
2026/09/05 03:24:05.647, 0, 9 %, 11563 MiB
2026/09/05 03:24:05.648, 1, 0 %, 8555 MiB
2026/09/05 03:24:06.649, 0, 7 %, 11563 MiB
2026/09/05 03:24:06.650, 1, 0 %, 8555 MiB
2026/09/05 03:24:07.651, 0, 12 %, 11563 MiB
2026/09/05 03:24:07.653, 1, 0 %, 8555 MiB
2026/09/05 03:24:08.653, 0, 6 %, 11563 MiB
2026/09/05 03:24:08.655, 1, 0 %, 8555 MiB
2026/09/05 03:24:09.663, 0, 11 %, 11563 MiB
2026/09/05 03:24:09.664, 1, 0 %, 8555 MiB
2026/09/05 03:24:10.665, 0, 11 %, 11563 MiB
2026/09/05 03:24:10.667, 1, 0 %, 8555 MiB
2026/09/05 03:24:11.669, 0, 11 %, 11563 MiB
2026/09/05 03:24:11.670, 1, 0 %, 8555 MiB
2026/09/05 03:24:12.673, 0, 10 %, 11563 MiB
2026/09/05 03:24:12.674, 1, 0 %, 8555 MiB
2026/09/05 03:24:13.676, 0, 7 %, 11563 MiB
2026/09/05 03:24:13.679, 1, 0 %, 8555 MiB
2026/09/05 03:24:14.680, 0, 5 %, 11563 MiB
2026/09/05 03:24:14.682, 1, 0 %, 8555 MiB
2026/09/05 03:24:15.683, 0, 4 %, 11563 MiB
2026/09/05 03:24:15.685, 1, 0 %, 8555 MiB
2026/09/05 03:24:16.686, 0, 3 %, 11563 MiB
2026/09/05 03:24:16.690, 1, 0 %, 8555 MiB
2026/09/05 03:24:17.692, 0, 3 %, 11563 MiB
2026/09/05 03:24:17.694, 1, 0 %, 8555 MiB
2026/09/05 03:24:18.715, 0, 5 %, 11563 MiB
2026/09/05 03:24:18.717, 1, 0 %, 8555 MiB
2026/09/05 03:24:19.739, 0, 7 %, 11563 MiB
2026/09/05 03:24:19.740, 1, 0 %, 8555 MiB
2026/09/05 03:24:20.763, 0, 3 %, 11563 MiB
2026/09/05 03:24:20.765, 1, 0 %, 8555 MiB
2026/09/05 03:24:21.787, 0, 5 %, 11563 MiB
2026/09/05 03:24:21.789, 1, 0 %, 8555 MiB
2026/09/05 03:24:22.810, 0, 13 %, 11565 MiB
2026/09/05 03:24:22.812, 1, 0 %, 8555 MiB
2026/09/05 03:24:23.833, 0, 7 %, 11567 MiB
2026/09/05 03:24:23.836, 1, 0 %, 8555 MiB
2026/09/05 03:24:24.859, 0, 5 %, 11565 MiB
2026/09/05 03:24:24.860, 1, 0 %, 8555 MiB
2026/09/05 03:24:27.953, 0, 5 %, 11565 MiB
2026/09/05 03:24:27.955, 1, 0 %, 8555 MiB
2026/09/05 03:24:29.040, 0, 3 %, 11565 MiB
2026/09/05 03:24:29.043, 1, 0 %, 8555 MiB
2026/09/05 03:24:30.129, 0, 2 %, 11565 MiB
2026/09/05 03:24:30.130, 1, 0 %, 8555 MiB
